,Hidden Layers,Neuron Per Layers,Iters,Learning Rate,Mean Error,Max Error,Min Error,Correct Classifications,Average Certainty,Incorrect Classifications,Average Incorrect Activation
0,1,[2],1000,0.1,0.00292781430643346,0.6536039918870742,0.3518208059419393,17,0.3811287501866555,13,0.3689900821556282
0,1,[2],1000,0.01,0.006467703629526988,0.6712740539187875,0.3407296056770293,14,0.34383129024614006,16,0.34298138954725466
0,1,[2],5000,0.1,0.028669462750202757,0.6539183930960507,0.34948474394671114,23,0.6042077320011693,7,0.4274643797860237
0,1,[2],5000,0.01,0.0017111262571596491,0.6725683305415064,0.3429586960719302,9,0.3424541018588702,21,0.34247198187386
0,1,[2],10000,0.1,0.030651575975575527,0.6550089957624929,0.3518002272654134,23,0.6103767175092255,7,0.42256253202055166
0,1,[2],10000,0.01,0.0006400446015443339,0.6727160021632281,0.3429177584263112,9,0.34268911203295116,21,0.34256992613249654
0,1,[4],1000,0.1,0.0026650654221977614,0.6389293223249911,0.3582865418038176,11,0.3799809665253854,19,0.37859839379354326
0,1,[4],1000,0.01,0.005644798197094523,0.6710836826850468,0.34313316078287953,9,0.3429745238104077,21,0.3434370457605887
0,1,[4],5000,0.1,0.002497043005094131,0.6387587774899608,0.358439350144044,11,0.3796948233905079,19,0.3784902679393539
0,1,[4],5000,0.01,0.005785498531019861,0.6716280293355938,0.3428287783518628,21,0.38993372521625025,9,0.35613501909223255
0,1,[4],10000,0.1,0.012218697746785927,0.6388222130284639,0.3582882279787909,21,0.47036370318154896,9,0.43040786940939435
0,1,[4],10000,0.01,0.002066984048023551,0.6709729161517861,0.34369148523787735,18,0.3467626500922712,12,0.34691194101615036
0,1,[6],1000,0.1,0.006569018690338002,0.6296906989194321,0.36142977477998317,12,0.4264040586717818,18,0.3905542684804455
0,1,[6],1000,0.01,0.009340830574759621,0.6694860272927259,0.34456953253296463,9,0.3434680255025983,21,0.3435340919026241
0,1,[6],5000,0.1,0.017413728810780363,0.6306653018479635,0.36107422120937654,21,0.535991939538089,9,0.45164028502426146
0,1,[6],5000,0.01,0.006184847652487985,0.6709193121787602,0.34336884032776144,21,0.40394173697529584,9,0.362165069618283
0,1,[4],10000,0.1,0.012218697746785927,0.6388222130284639,0.3582882279787909,21,0.47036370318154896,9,0.43040786940939435
0,1,[6],10000,0.01,0.016941242154192588,0.6676923136338888,0.3441162224457199,21,0.4882624976297168,9,0.3879194351311072
0,1,[8],1000,0.1,0.026358406495261062,0.6248903391917726,0.3639733209272057,20,0.46793749237433974,10,0.43088511741896973
0,1,[8],1000,0.01,0.014372878507126735,0.6687398063054149,0.34378851023677465,23,0.35196182872258996,7,0.3471837134698673
0,1,[8],5000,0.1,0.016548953494854676,0.6259731390867717,0.3636539286445731,21,0.5088886554690997,9,0.4402589082704581
0,1,[8],5000,0.01,0.013336807446363329,0.6671797589135908,0.345361724082952,24,0.36392566610075133,6,0.3538931906878191
0,1,[8],10000,0.1,0.0559110631230767,0.6244536297197176,0.36233334963153085,25,0.6866207853890858,5,0.4718247065913766
0,1,[8],10000,0.01,0.004634949475206242,0.6684601925941878,0.3447509259760608,21,0.38389154823471566,9,0.35924706741621215
0,2,"[2, 4]",5000,0.1,0.06784118573198979,0.6604012368370693,0.34410454346835706,28,0.7280048668766337,2,0.5393301774575385
0,2,"[2, 4]",5000,0.01,0.001254447475555519,0.6724846047416912,0.34302683156860275,9,0.34249644006584234,21,0.34249766663134007
0,2,"[2, 4]",10000,0.1,0.0322512709524139,0.6620579165503165,0.34879851486392854,28,0.7049394539864141,2,0.5365776777898377
0,2,"[2, 4]",10000,0.01,0.0007024582184737607,0.6722475949753337,0.3431426906920417,9,0.34255947551047833,21,0.3425633296352032
0,2,"[4, 6]",5000,0.1,0.05940410355293593,0.6357904347470953,0.3592030516891182,28,0.7140639057540998,2,0.514913700306151
0,2,"[2, 4]",5000,0.01,0.001254447475555519,0.6724846047416912,0.34302683156860275,9,0.34249644006584234,21,0.34249766663134007
0,2,"[4, 6]",10000,0.1,0.051582736584568946,0.6451286770945558,0.08605915295746434,28,0.7794862448042467,2,0.5800662749312502
0,2,"[4, 6]",10000,0.01,0.002825065304572975,0.6713298363927673,0.3421348901630617,9,0.34281785623795363,21,0.3428284844076307
0,2,"[6, 8]",5000,0.1,0.04790516243257496,0.6514766994133744,0.3541179328993054,28,0.7092502211274654,2,0.5144451406602419
0,2,"[6, 8]",5000,0.01,0.009727394289258062,0.6679207586486797,0.34522825813664865,9,0.3437645783808172,21,0.34378779397500653
0,2,"[6, 8]",10000,0.1,0.04342652085427481,0.6431547635125646,0.015548912917657533,28,0.8243294637967401,2,0.6438346134042174
0,2,"[6, 8]",10000,0.01,0.012943397995598752,0.6690131645346644,0.34476493728187135,9,0.343515752766982,21,0.34351863487192025
0,2,"[5, 5]",5000,0.1,0.04275458117089215,0.6525123865362932,0.35142914564577116,28,0.7081957884843136,2,0.5292599069349107
0,2,"[5, 5]",5000,0.01,0.001245380524398962,0.6706815333807822,0.34392753416873345,10,0.34468170004105075,20,0.3439520441574276
0,2,"[5, 5]",10000,0.1,0.03587378947092225,0.6430317655538744,0.009767327586800338,28,0.8383067793025136,2,0.6786746100631222
0,2,"[5, 5]",10000,0.01,0.0018602173685039877,0.6714250347419265,0.34345499928348866,9,0.34274147505258,21,0.34277786750372885
0,2,"[7, 7]",5000,0.1,0.06564120796527352,0.6439509747583423,0.3561066666909577,28,0.7259711220369612,2,0.5163834858116163
0,2,"[7, 7]",5000,0.01,0.021984917365011025,0.6695922669136007,0.3444870503481614,9,0.3433258708857351,21,0.3433279627343981
